REGION,CATEGORY,TECHNOLOGY,AMOUNT (2020 USD MILLION),YEAR
Africa,Non-renewables,Coal and peat,0.01,2006
Africa,Non-renewables,Coal and peat,0.71,2006
Africa,Non-renewables,Coal and peat,0.47,2006
Africa,Non-renewables,Coal and peat,0.13,2007
Africa,Renewables,Multiple renewables,0.05,2007
Africa,Renewables,Multiple renewables,0,2007
Africa,Renewables,Multiple renewables,0.03,2007
Africa,Renewables,Multiple renewables,0.01,2010
Africa,Renewables,Solar energy,0.03,2008
Africa,Non-renewables,Nuclear,0.03,2012
Africa,Non-renewables,Nuclear,0.58,2012
Africa,Renewables,Solar energy,0.46,2018
Africa,Renewables,Multiple renewables,2.46,2000
Africa,Renewables,Multiple renewables,0.09,2016
Africa,Renewables,Solar energy,10.25,2018
Africa,Renewables,Multiple renewables,6.74,2019
Africa,Renewables,Multiple renewables,0.04,2020
Africa,Renewables,Multiple renewables,0.02,2013
Africa,Renewables,Multiple renewables,0.06,2010
Africa,Renewables,Multiple renewables,0.01,2011
Africa,Non-renewables,Fossil fuels n.e.s.,0.02,2012
Africa,Renewables,Multiple renewables,0.01,2012
Africa,Renewables,Multiple renewables,0,2019
Africa,Renewables,Multiple renewables,0.01,2019
Africa,Renewables,Multiple renewables,0.01,2020
Africa,Non-renewables,Fossil fuels n.e.s.,0.21,2004
Africa,Renewables,Solar energy,0.02,2020
Africa,Renewables,Multiple renewables,0.03,2020
Africa,Renewables,Multiple renewables,0.02,2020
Africa,Renewables,Multiple renewables,0.02,2011
Africa,Renewables,Solar energy,0.08,2014
Africa,Renewables,Solar energy,0.02,2015
Africa,Renewables,Multiple renewables,0.01,2016
Africa,Renewables,Solar energy,0,2011
Africa,Renewables,Solar energy,0.03,2014
Africa,Renewables,Solar energy,0.01,2011
Africa,Renewables,Solar energy,0.03,2012
Africa,Renewables,Solar energy,0.02,2012
Africa,Renewables,Solar energy,0.17,2013
Africa,Renewables,Solar energy,0.01,2000
Africa,Renewables,Multiple renewables,3.65,2012
Africa,Renewables,Solar energy,4.29,2012
Africa,Renewables,Multiple renewables,0.7,2018
Africa,Renewables,Solar energy,0.01,2014
Africa,Renewables,Multiple renewables,0.5,2015
Africa,Renewables,Solar energy,0.5,2019
Africa,Renewables,Multiple renewables,0.04,2014
Africa,Renewables,Solar energy,0.04,2014
Africa,Renewables,Multiple renewables,0.03,2016
Africa,Renewables,Multiple renewables,0.02,2009
Africa,Renewables,Solar energy,10,2017
Africa,Renewables,Multiple renewables,0.01,2017
Africa,Renewables,Multiple renewables,0.01,2007
Africa,Non-renewables,Fossil fuels n.e.s.,1.11,2012
Africa,Renewables,Solar energy,55.92,2008
Africa,Renewables,Solar energy,0,2010
Africa,Renewables,Multiple renewables,0.03,2018
Africa,Renewables,Solar energy,0.01,2019
Africa,Renewables,Multiple renewables,0.01,2008
Africa,Renewables,Solar energy,0.17,2009
Africa,Renewables,Solar energy,22.39,2012
Africa,Renewables,Multiple renewables,0.13,2015
Africa,Non-renewables,Nuclear,0.42,2018
Africa,Non-renewables,Nuclear,0.15,2019
Africa,Renewables,Solar energy,0.09,2019
Africa,Renewables,Solar energy,0,2009
Africa,Renewables,Solar energy,0,2008
Africa,Renewables,Solar energy,1.42,2009
Africa,Renewables,Solar energy,9.31,2019
Africa,Renewables,Solar energy,19.87,2009
Africa,Renewables,Solar energy,0.02,2001
Africa,Renewables,Solar energy,0.03,2004
Africa,Renewables,Solar energy,0.63,2014
Africa,Renewables,Solar energy,1.06,2006
Africa,Renewables,Solar energy,0.12,2004
Africa,Renewables,Solar energy,14.63,2000
Africa,Renewables,Solar energy,30.12,2000
Africa,Renewables,Multiple renewables,8.54,2011
Africa,Renewables,Solar energy,0.65,2004
Africa,Renewables,Multiple renewables,0.57,2001
Africa,Renewables,Solar energy,0.01,2001
Africa,Renewables,Solar energy,0.07,2005
Africa,Renewables,Solar energy,26.3,2002
Africa,Renewables,Solar energy,5.39,2008
Africa,Renewables,Solar energy,0.64,2001
Africa,Renewables,Solar energy,0.39,2002
Africa,Renewables,Solar energy,0.76,2003
Africa,Renewables,Solar energy,10.67,2000
Africa,Non-renewables,Nuclear,0.06,2003
Africa,Renewables,Multiple renewables,0.33,2016
Africa,Renewables,Solar energy,0.01,2004
Africa,Renewables,Solar energy,0.01,2002
Africa,Renewables,Solar energy,0.01,2005
Africa,Renewables,Solar energy,0.01,2002
Africa,Renewables,Multiple renewables,0.07,2003
Africa,Renewables,Solar energy,14.94,2008
Africa,Renewables,Solar energy,9.96,2010
Africa,Renewables,Solar energy,0.11,2011
Africa,Renewables,Solar energy,0.04,2019
Africa,Renewables,Solar energy,0,2009
Africa,Renewables,Solar energy,0,2009
Africa,Renewables,Solar energy,0.02,2007
Africa,Non-renewables,Fossil fuels n.e.s.,1.02,2008
Africa,Renewables,Solar energy,0.09,2005
Africa,Non-renewables,Fossil fuels n.e.s.,0.04,2009
Africa,Renewables,Solar energy,0.02,2009
Africa,Non-renewables,Fossil fuels n.e.s.,36.39,2010
Africa,Non-renewables,Fossil fuels n.e.s.,17.86,2015
Africa,Renewables,Multiple renewables,2.33,2008
Africa,Non-renewables,Fossil fuels n.e.s.,5.15,2010
Africa,Renewables,Multiple renewables,5.15,2012
Africa,Renewables,Multiple renewables,1.87,2013
Africa,Renewables,Multiple renewables,3.28,2015
Africa,Renewables,Multiple renewables,2.76,2008
Africa,Renewables,Multiple renewables,9.32,2014
Africa,Renewables,Solar energy,1.54,2012
Africa,Renewables,Solar energy,0.77,2013
Africa,Renewables,Multiple renewables,10.58,2009
Africa,Renewables,Multiple renewables,0.27,2010
Africa,Renewables,Solar energy,0.08,2010
Africa,Renewables,Wind energy,0.03,2009
Africa,Renewables,Wind energy,0.11,2013
Africa,Renewables,Multiple renewables,0.01,2010
Africa,Renewables,Multiple renewables,0.03,2010
Africa,Renewables,Multiple renewables,0,2010
Africa,Renewables,Multiple renewables,0.01,2010
Africa,Renewables,Multiple renewables,0.02,2011
Africa,Renewables,Multiple renewables,0.02,2011
Africa,Renewables,Solar energy,0.19,2011
Africa,Renewables,Multiple renewables,0.01,2011
Africa,Renewables,Multiple renewables,0.01,2019
Africa,Renewables,Multiple renewables,0.01,2020
Africa,Renewables,Multiple renewables,0.09,2012
Africa,Renewables,Solar energy,0,2014
Africa,Renewables,Multiple renewables,5.78,2015
Africa,Renewables,Multiple renewables,0.37,2014
Africa,Non-renewables,Fossil fuels n.e.s.,0.07,2014
Africa,Renewables,Solar energy,0.01,2016
Africa,Renewables,Solar energy,0.01,2018
Africa,Renewables,Multiple renewables,0.03,2015
Africa,Renewables,Solar energy,0.02,2015
Africa,Renewables,Solar energy,0,2015
Africa,Renewables,Solar energy,0.64,2016
Africa,Renewables,Solar energy,10.18,2016
Africa,Renewables,Multiple renewables,0.19,2017
Africa,Renewables,Multiple renewables,0.14,2018
Africa,Renewables,Multiple renewables,0.05,2010
Africa,Renewables,Solar energy,11.18,2010
Africa,Renewables,Multiple renewables,1.68,2011
Africa,Non-renewables,Fossil fuels n.e.s.,10.85,2011
Africa,Non-renewables,Fossil fuels n.e.s.,13.13,2011
Africa,Renewables,Multiple renewables,36.4,2011
Africa,Renewables,Multiple renewables,11.27,2014
Africa,Renewables,Solar energy,0.01,2011
Africa,Renewables,Multiple renewables,0.01,2011
Africa,Renewables,Solar energy,5.03,2018
Africa,Renewables,Multiple renewables,5.13,2019
Africa,Renewables,Solar energy,79.86,2019
Africa,Renewables,Multiple renewables,0,2018
Africa,Renewables,Multiple renewables,0.01,2018
Africa,Renewables,Multiple renewables,0.01,2018
Africa,Renewables,Multiple renewables,0.01,2019
Africa,Renewables,Multiple renewables,0,2020
Africa,Renewables,Multiple renewables,0.02,2019
Africa,Renewables,Multiple renewables,19.31,2019
Africa,Renewables,Multiple renewables,10.31,2019
Africa,Renewables,Multiple renewables,2.9,2019
Africa,Renewables,Multiple renewables,16.57,2020
Africa,Renewables,Multiple renewables,46.74,2010
Africa,Renewables,Multiple renewables,14.29,2011
Africa,Renewables,Multiple renewables,0,2011
Africa,Renewables,Multiple renewables,0.05,2012
Africa,Renewables,Multiple renewables,0.13,2012
Africa,Renewables,Multiple renewables,5.47,2012
Africa,Renewables,Multiple renewables,0.05,2013
Africa,Renewables,Solar energy,0.14,2018
Africa,Renewables,Multiple renewables,0.16,2018
Africa,Renewables,Solar energy,0.13,2013
Africa,Renewables,Multiple renewables,0.02,2013
Africa,Renewables,Solar energy,0.09,2014
Africa,Renewables,Solar energy,0.09,2014
Africa,Renewables,Multiple renewables,0.41,2013
Africa,Renewables,Multiple renewables,0.37,2014
Africa,Renewables,Multiple renewables,0.58,2014
Africa,Renewables,Multiple renewables,0.18,2017
Africa,Renewables,Multiple renewables,0.02,2017
Africa,Renewables,Multiple renewables,0.06,2017
Africa,Renewables,Multiple renewables,0.26,2016
Africa,Renewables,Multiple renewables,0.11,2009
Africa,Renewables,Multiple renewables,0.67,2011
Africa,Renewables,Multiple renewables,0.51,2011
Africa,Renewables,Multiple renewables,1.74,2002
Africa,Renewables,Wind energy,0.02,2010
Africa,Renewables,Multiple renewables,7.13,2011
Africa,Renewables,Solar energy,2.66,2012
Africa,Renewables,Wind energy,0.54,2017
Africa,Renewables,Wind energy,0.03,2017
Africa,Renewables,Multiple renewables,0,2017
Africa,Non-renewables,Fossil fuels n.e.s.,40.59,2017
Africa,Non-renewables,Fossil fuels n.e.s.,38.92,2017
Africa,Renewables,Multiple renewables,0.02,2018
Africa,Renewables,Solar energy,0.01,2017
Africa,Renewables,Solar energy,0.01,2018
Africa,Renewables,Multiple renewables,0.02,2018
Africa,Renewables,Multiple renewables,0.25,2015
Africa,Renewables,Multiple renewables,0.39,2015
Africa,Renewables,Solar energy,0.01,2015
Africa,Renewables,Solar energy,0.01,2019
Africa,Renewables,Solar energy,0,2017
Africa,Renewables,Solar energy,0.01,2012
Africa,Renewables,Solar energy,0.01,2016
Africa,Renewables,Multiple renewables,0.34,2015
Africa,Renewables,Multiple renewables,0.48,2018
Africa,Renewables,Solar energy,0.2,2019
Africa,Non-renewables,Nuclear,0.02,2017
Africa,Renewables,Multiple renewables,0.13,2020
Africa,Renewables,Multiple renewables,1.94,2009
Africa,Renewables,Wind energy,0.05,2012
Africa,Non-renewables,Nuclear,0.37,2012
Africa,Non-renewables,Nuclear,0.46,2012
Africa,Non-renewables,Fossil fuels n.e.s.,0.03,2019
Africa,Renewables,Solar energy,0.69,2017
Africa,Renewables,Solar energy,0.91,2018
Africa,Renewables,Solar energy,33.15,2018
Africa,Renewables,Solar energy,44.2,2018
Africa,Renewables,Solar energy,0.01,2018
Africa,Renewables,Solar energy,0.91,2019
Africa,Renewables,Solar energy,0.54,2019
Africa,Renewables,Multiple renewables,0.06,2019
Africa,Renewables,Multiple renewables,1.89,2002
Africa,Non-renewables,Fossil fuels n.e.s.,35.8,2003
Africa,Renewables,Multiple renewables,1.89,2003
Africa,Renewables,Multiple renewables,11.38,2003
Africa,Renewables,Multiple renewables,2.75,2012
Africa,Renewables,Multiple renewables,0.59,2012
Africa,Non-renewables,Fossil fuels n.e.s.,0.05,2012
Africa,Non-renewables,Fossil fuels n.e.s.,9.38,2015
Africa,Renewables,Solar energy,0.14,2016
Africa,Renewables,Solar energy,0.12,2014
Africa,Renewables,Solar energy,0.19,2015
Africa,Non-renewables,Nuclear,0,2016
Africa,Renewables,Solar energy,0,2019
Africa,Renewables,Multiple renewables,0.13,2016
Africa,Renewables,Multiple renewables,0.02,2016
Africa,Renewables,Multiple renewables,0.13,2016
Africa,Non-renewables,Fossil fuels n.e.s.,3.41,2016
Africa,Renewables,Multiple renewables,3.41,2018
Africa,Non-renewables,Fossil fuels n.e.s.,38.51,2019
Africa,Renewables,Solar energy,29.43,2019
Africa,Renewables,Solar energy,34.48,2018
Africa,Renewables,Multiple renewables,0,2019
Africa,Renewables,Multiple renewables,0,2006
Africa,Renewables,Multiple renewables,0.03,2013
Africa,Renewables,Solar energy,0,2013
Africa,Renewables,Multiple renewables,0,2013
Africa,Renewables,Multiple renewables,0,2012
Africa,Renewables,Solar energy,5.93,2016
Africa,Non-renewables,Fossil fuels n.e.s.,0.33,2017
Africa,Renewables,Solar energy,2.75,2018
Africa,Renewables,Solar energy,50.05,2017
Africa,Renewables,Multiple renewables,0.02,2017
Africa,Renewables,Multiple renewables,0,2010
Africa,Renewables,Multiple renewables,0,2012
Africa,Renewables,Solar energy,0,2009
Africa,Renewables,Solar energy,0.01,2011
Africa,Renewables,Multiple renewables,0.01,2012
Africa,Renewables,Multiple renewables,0.01,2012
Africa,Renewables,Solar energy,7.97,2012
Africa,Renewables,Solar energy,12.51,2011
Africa,Renewables,Solar energy,0,2011
Africa,Renewables,Solar energy,8.34,2011
Africa,Renewables,Solar energy,0.03,2011
Africa,Renewables,Solar energy,10,2013
Africa,Renewables,Solar energy,12.51,2013
Africa,Renewables,Multiple renewables,0.03,2013
Africa,Renewables,Solar energy,5.88,2000
Africa,Renewables,Solar energy,10,2003
Africa,Non-renewables,Fossil fuels n.e.s.,25.78,2019
Africa,Renewables,Solar energy,10.52,2009
Africa,Renewables,Multiple renewables,0.01,2010
Africa,Renewables,Multiple renewables,0.03,2000
Africa,Renewables,Solar energy,0.02,2000
Africa,Renewables,Multiple renewables,0.69,2014
Africa,Renewables,Solar energy,0.69,2015
Africa,Renewables,Multiple renewables,0.05,2018
Africa,Renewables,Solar energy,0.05,2010
Africa,Renewables,Solar energy,7.65,2012
Africa,Renewables,Solar energy,7.65,2012
Africa,Renewables,Solar energy,0.14,2012
Africa,Renewables,Multiple renewables,0.28,2012
Africa,Renewables,Solar energy,8.18,2012
Africa,Renewables,Solar energy,8.18,2012
Africa,Renewables,Multiple renewables,0.15,2012
Africa,Renewables,Solar energy,0.02,2012
Africa,Non-renewables,Fossil fuels n.e.s.,14.77,2012
Africa,Renewables,Multiple renewables,0.04,2012
Africa,Renewables,Multiple renewables,0.26,2012
Africa,Renewables,Solar energy,0.02,2012
Africa,Renewables,Solar energy,0.09,2012
Africa,Renewables,Multiple renewables,0.09,2012
Africa,Non-renewables,Nuclear,0.39,2010
Africa,Non-renewables,Nuclear,0.04,2009
Africa,Renewables,Multiple renewables,0,2010
Africa,Non-renewables,Nuclear,0,2011
Africa,Renewables,Multiple renewables,0.98,2011
Africa,Renewables,Multiple renewables,19.62,2012
Africa,Renewables,Multiple renewables,0.01,2012
Africa,Renewables,Multiple renewables,0,2013
Africa,Renewables,Multiple renewables,0.01,2013
Africa,Renewables,Multiple renewables,0,2017
Africa,Renewables,Solar energy,0.07,2018
Africa,Non-renewables,Fossil fuels n.e.s.,42.16,2017
Africa,Non-renewables,Fossil fuels n.e.s.,24.43,2019
Africa,Renewables,Multiple renewables,30.89,2019
Africa,Renewables,Multiple renewables,11.19,2019
Africa,Non-renewables,Nuclear,0.08,2019
Africa,Non-renewables,Nuclear,0.84,2010
Africa,Renewables,Solar energy,0.01,2010
Africa,Renewables,Solar energy,5.32,2011
Africa,Renewables,Multiple renewables,0.9,2015
Africa,Renewables,Solar energy,0.61,2016
Africa,Renewables,Solar energy,0.26,2016
Africa,Renewables,Solar energy,9.76,2017
Africa,Renewables,Solar energy,0.8,2000
Africa,Renewables,Solar energy,1.91,2001
Africa,Renewables,Multiple renewables,0.38,2002
Africa,Renewables,Solar energy,0.17,2000
Africa,Non-renewables,Nuclear,0.12,2000
Africa,Non-renewables,Fossil fuels n.e.s.,23.62,2003
Africa,Renewables,Multiple renewables,15.23,2001
Africa,Renewables,Solar energy,7.01,2000
Africa,Renewables,Solar energy,16.36,2002
Africa,Renewables,Multiple renewables,0.01,2003
Africa,Renewables,Multiple renewables,0.01,2004
Africa,Renewables,Solar energy,0.01,2001
Africa,Renewables,Multiple renewables,0.09,2006
Africa,Renewables,Solar energy,0,2007
Africa,Renewables,Multiple renewables,0.07,2008
Africa,Renewables,Solar energy,0.03,2018
Africa,Renewables,Solar energy,0,2018
Africa,Renewables,Solar energy,0.01,2019
Africa,Renewables,Solar energy,0.01,2019
Africa,Renewables,Multiple renewables,0.44,2006
Africa,Renewables,Multiple renewables,0.24,2017
Africa,Renewables,Multiple renewables,0.28,2018
Africa,Renewables,Solar energy,0.09,2018
Africa,Renewables,Multiple renewables,0.19,2018
Africa,Non-renewables,Nuclear,0.01,2018
Africa,Non-renewables,Nuclear,0.03,2018
Africa,Non-renewables,Nuclear,0.18,2018
Africa,Renewables,Solar energy,0.01,2018
Africa,Renewables,Multiple renewables,0.03,2000
Africa,Non-renewables,Fossil fuels n.e.s.,11.18,2000
Africa,Renewables,Solar energy,0.01,2000
Africa,Renewables,Solar energy,0.01,2001
Africa,Renewables,Solar energy,0.04,2002
Africa,Renewables,Solar energy,0.06,2003
Africa,Renewables,Multiple renewables,0.01,2003
Africa,Renewables,Multiple renewables,0.06,2004
Africa,Renewables,Multiple renewables,0.11,2004
Africa,Renewables,Multiple renewables,0.58,2017
Africa,Renewables,Multiple renewables,0.57,2019
Africa,Renewables,Solar energy,0.01,2017
Africa,Renewables,Multiple renewables,0.1,2018
Africa,Renewables,Multiple renewables,0.72,2019
Africa,Renewables,Solar energy,0.01,2010
Africa,Renewables,Multiple renewables,0.03,2010
Africa,Non-renewables,Nuclear,0,2014
Africa,Renewables,Solar energy,0.01,2000
Africa,Renewables,Solar energy,0.13,2012
Africa,Non-renewables,Fossil fuels n.e.s.,51.82,2017
Africa,Non-renewables,Fossil fuels n.e.s.,5.56,2018
Africa,Non-renewables,Fossil fuels n.e.s.,12.57,2020
Africa,Non-renewables,Fossil fuels n.e.s.,1.08,2017
Africa,Non-renewables,Fossil fuels n.e.s.,6.87,2018
Africa,Renewables,Multiple renewables,0.01,2019
Africa,Renewables,Multiple renewables,0,2018
Africa,Renewables,Multiple renewables,0.01,2012
Africa,Renewables,Multiple renewables,0.21,2015
Africa,Renewables,Multiple renewables,0.39,2001
Africa,Renewables,Multiple renewables,0.55,2001
Africa,Renewables,Multiple renewables,0,2011
Africa,Renewables,Multiple renewables,0.87,2008
Africa,Renewables,Multiple renewables,1.73,2011
Africa,Renewables,Multiple renewables,0.08,2010
Africa,Renewables,Multiple renewables,1.11,2011
Africa,Renewables,Multiple renewables,1.45,2013
Africa,Renewables,Multiple renewables,0.98,2013
Africa,Renewables,Multiple renewables,1.67,2013
Africa,Renewables,Solar energy,1.67,2007
Africa,Renewables,Multiple renewables,0.07,2007
Africa,Renewables,Solar energy,0.07,2018
Africa,Renewables,Multiple renewables,0.01,2011
Africa,Renewables,Multiple renewables,0.01,2011
Africa,Renewables,Multiple renewables,0.02,2010
Africa,Renewables,Multiple renewables,0.01,2012
Africa,Renewables,Solar energy,1.11,2017
Africa,Renewables,Wind energy,0.1,2017
Africa,Non-renewables,Fossil fuels n.e.s.,30.1,2014
Africa,Renewables,Wind energy,10.9,2008
Africa,Renewables,Wind energy,10.91,2008
